noun2	count	noun1_list
fastener	62	backscratchers, barrettes, bassoons, belt buckles, bolts, bow, buckles, bulls, buttons, cantaloupes, chains, chairs, chickpeas, clasps, clothespins, coils, combination locks, crayfish, cufflinks, ducklings, dustpans, elephants, envelopes, gaskets, hairpins, highlighters, honey, hooks, knots, latches, lingerie, locks, mandolins, maple syrup, mirrors, nails, noodles, ostriches, padlocks, paperclips, peas, pegs, pins, puppies, rabbits, rearview mirrors, rubber bands, safety pins, screws, staples, straps, stretchers, tapes, tea, thumbtacks, tridents, tube tops, velcros, weasels, whisks, zebras, zippers
sea animal	60	aquariums, barnacles, beavers, blowfish, braces, canes, cantaloupes, catfish, chinchillas, clams, corals, crabs, crayfish, dolphins, dynamites, eels, fish, frogs, geese, hippos, honey, jackets, jams, jellyfish, knobs, koalas, lobsters, manatees, maple syrup, mirrors, moles, mussels, octopus, oysters, rabbits, racks, rearview mirrors, sardines, scallops, scoops, sea urchins, seahorses, seals, seaweeds, sharks, shrimps, slugs, snails, squids, starfish, stilettoes, stingrays, stools, stretchers, swordfish, toast, turkeys, turtles, walruses, whales
auto part	60	airbags, backscratchers, bassoons, bolts, brakes, bulls, bumpers, buses, car doors, car seats, cars, chains, coils, crows, dashboards, ducklings, dustpans, dynamites, elephants, engines, envelopes, exhaust pipes, gaskets, gearshifts, grilles, handbrakes, headlights, headrests, highlighters, honey, hubcaps, latches, license plates, mandolins, mirrors, odometers, pedals, police cars, puppies, rabbits, rearview mirrors, rims, roof racks, roosters, seatbelts, spark plugs, speedometers, steering wheels, stilettoes, stretchers, sunroofs, taillights, toast, tridents, tube tops, wheels, whisks, windshield wipers, windshields, zebras
bird	55	bats, beavers, bikinis, birdbaths, birdcages, birdhouses, cardinals, catfish, chairs, chicken, chicks, chinchillas, cockatoos, cocktails, crayfish, crows, ducklings, ducks, dynamites, eagles, eels, flamingoes, geese, hawks, hummingbirds, jackets, jams, lingerie, maple syrup, margaritas, mirrors, moles, ostriches, owls, parrots, peacocks, pelicans, penguins, pheasants, pigeons, puffins, rabbits, rearview mirrors, roosters, scoops, seagulls, squids, squirrels, stools, swans, t-shirts, toucans, turkeys, vultures, whales
kitchen tool	54	backscratchers, bottle openers, bulls, calves, can openers, cantaloupes, cleavers, corkscrews, ducklings, dustpans, dynamites, eggbeaters, elephants, flies, funnels, graters, grinders, highlighters, honey, icepicks, juicers, kettles, knives, ladles, lasagna, latches, margaritas, measuring cups, mirrors, noodles, nutcrackers, nuts, peelers, pepper mills, puppies, rabbits, rolling pins, scoops, sheeps, sifters, skewers, spatulas, spoons, stoves, strainers, stretchers, timers, toaster ovens, toasters, tongs, tube tops, turkeys, whisks, zebras
medical equipment	52	backscratchers, bandages, bedpans, braces, bulls, canes, chains, coils, crutches, defibrillators, ducklings, dustpans, dynamites, elephants, envelopes, eye patches, eyedroppers, first-aid kits, gauzes, hearing aids, highlighters, honey, ice packs, inhalers, latches, margaritas, mirrors, mixers, penlights, pillboxes, plaster casts, projectors, puppies, roosters, scalpels, slings, spears, stethoscopes, stilettoes, stools, stretchers, swabs, syringes, triangles, tridents, tube tops, tweezers, vials, walkers, wheelchairs, whisks, zebras
school supply	52	abacuses, backpacks, backscratchers, bassoons, binders, bolts, books, bulls, calculators, calves, chains, chalkboards, chalks, coils, crayons, ducklings, dustpans, elephants, envelopes, erasers, folders, fountain pens, glue, highlighters, honey, ink, inkwells, latches, lunchboxes, markers, mirrors, noodles, notebooks, notepads, nuts, paper, paperclips, pencil sharpeners, pencils, pens, prunes, puppies, roosters, rulers, sheeps, spatulas, staplers, stretchers, tube tops, whisks, whiteboards, zebras
office supply	48	abacuses, backscratchers, bassoons, binders, bolts, bulls, calves, chains, clipboards, coils, ducklings, dustpans, elephants, envelopes, erasers, files, folders, fountain pens, fruit punches, glue, highlighters, honey, ink, latches, mirrors, noodles, notebooks, notepads, paper, paperclips, pencil sharpeners, pencils, pens, puppies, rearview mirrors, roosters, rubber bands, scissors, sheeps, spatulas, staplers, staples, stretchers, tapes, thumbtacks, tube tops, whisks, zebras
seafood	47	aquariums, belt buckles, blowfish, calamari, canes, cantaloupes, capes, catfish, caviar, chairs, cinnamon, clams, crabs, crayfish, eels, elephants, fish, fruitcakes, geese, jackets, jellyfish, knobs, lasagna, lobsters, meat, mirrors, mussels, octopus, oysters, pickles, pocket watches, rabbits, sardines, scallops, sea urchins, seaweeds, sharks, shrimps, snails, spaghetti, squids, stilettoes, stools, swordfish, test tubes, turkeys, zucchini
kitchen equipment	40	backscratchers, blenders, bulls, burners, coffeemakers, coils, cookers, dishwashers, ducklings, dustpans, dynamites, elephants, food processors, freezers, highlighters, honey, hotplates, icemakers, juicers, lasagna, latches, microwaves, mirrors, mixers, nuts, ovens, puppies, rabbits, refrigerators, slicers, stoves, toaster ovens, toasters, tridents, tube tops, turkeys, waffle irons, water filters, whisks, zebras
headwear	38	backscratchers, bananas, bandanas, beanies, bonnets, bowler hats, bulls, chains, crowns, ducklings, dustpans, elephants, envelopes, football helmets, hairnets, hats, headbands, headdresses, headscarves, helmets, honey, hoods, latches, loincloths, maple syrup, muffs, puppies, sombreros, strawberries, tiaras, togas, top hats, tube tops, turbans, veils, visors, wigs, zebras
water vehicle	38	airboats, aircraft carriers, boats, bulls, buses, canoes, chains, chariots, coils, creme brulee, cruise ships, dustpans, elephants, envelopes, ferries, gondolas, honey, hovercrafts, jams, jetskis, kayaks, latches, margaritas, prunes, rafts, sailboats, seaplanes, ships, speedboats, stretchers, submarines, taffy, torpedoes, tube tops, tugboats, whisks, yachts, zebras
women's clothing	38	backscratchers, bikinis, blouses, boas, bras, bulls, chains, corsets, dresses, ducklings, dustpans, elephants, envelopes, fishnet stockings, headscarves, highlighters, honey, kimonos, latches, leggings, leotards, lingerie, mirrors, nuts, pantsuits, pantyhoses, puppies, roosters, skirts, stilettoes, stockings, stretchers, tiaras, tube tops, undershirts, veils, whisks, zebras
game	37	backgammon, backscratchers, bassoons, board games, bolts, bulls, calves, chains, checkers, chessboards, coils, computers, dices, dominoes, dustpans, elephants, envelopes, highlighters, honey, hopscotches, jigsaw puzzles, jump ropes, latches, lingerie, maple syrup, pinballs, playing cards, roosters, scrabble, shuffleboards, slot machines, tick-tack-toe, tube tops, videogames, whisks, yo-yos, zebras
drink	37	beer, bulls, calves, cantaloupes, champagne, clams, cocktails, coffee, crayfish, eggnog, elephants, espresso, fruit punches, geese, honey, hot chocolate, juices, latches, lattes, lemonades, margaritas, milk, milkshakes, mirrors, noodles, pickles, puppies, rabbits, scallops, smoothies, sodas, stilettoes, tea, tridents, tube tops, wines, zebras
livestock	36	bassoons, bisons, boars, bulls, calves, chairs, chariots, chicken, chinchillas, cows, crayfish, donkeys, ducks, geese, goats, horses, jackets, lambs, latches, maple syrup, margaritas, meat, mirrors, nuts, pickles, piglets, pigs, prunes, rabbits, rams, roosters, sheeps, stretchers, tridents, tube tops, turkeys
insect	34	ants, bats, bees, beetles, bugs, butterflies, caterpillars, catfish, chairs, cockroaches, creme brulee, dragonflies, earwigs, flies, frogs, grasshoppers, jackets, ladybugs, lightning bugs, maggots, maple syrup, margaritas, mirrors, moles, mosquitoes, moths, praying mantises, scoops, shrimps, squids, squirrels, stilettoes, wasps, worms
garden tool	34	axes, backscratchers, bassoons, bulls, chainsaws, clippers, cranks, drills, ducklings, elephants, fruit punches, grinders, hatchets, hoes, honey, hoses, lawnmowers, mirrors, pickaxes, pitchforks, plungers, puppies, rakes, saws, scissors, shears, shovels, sickles, spatulas, toolboxes, trowels, watering cans, wheelbarrows, zebras
protective clothing	32	aprons, armor, backscratchers, bulletproof vests, bulls, calves, chains, coveralls, ducklings, dustpans, elephants, envelopes, face masks, football helmets, gloves, helmets, highlighters, honey, kneepads, lab coats, latches, life jackets, mandolins, overalls, puppies, raincoats, roosters, spacesuits, stretchers, tube tops, visors, wetsuits
outerwear	32	aprons, bananas, bassoons, blazers, bulls, capes, cloaks, coats, costumes, coveralls, dresses, elephants, envelopes, fur coats, gloves, honey, jackets, jumpsuits, lab coats, margaritas, mirrors, muffs, overalls, raincoats, scarves, shawls, snowsuits, tube tops, undershirts, underwear, vests, zebras
footwear	30	boots, bulls, costumes, dresses, ducklings, elephants, flip-flops, flippers, gloves, honey, iceskates, maple syrup, moccasins, muffs, puppies, robes, rollerblades, rollerskates, sandals, shoes, ski boots, slippers, snowshoes, socks, stilettoes, stockings, stretchers, tube tops, underwear, zebras
condiment	30	applesauce, bassoons, bulls, butter, calves, cantaloupes, celeries, cream cheese, ducklings, elephants, ginger, gravy, jams, ketchup, lasagna, maple syrup, marmalade, mustard, noodles, okra, peanut butter, pesto, puppies, rabbits, sauces, scallops, soy sauce, syrups, zebras, zucchini
jewelry	29	anklets, barrettes, bow, bracelets, brooches, bulls, calves, centerpieces, christmas trees, crowns, cufflinks, ducklings, earrings, elephants, hairpins, latches, lockets, necklaces, pocket watches, puppies, rings, roosters, scallops, stretchers, tiaras, tube tops, watches, whisks, zebras
candy	29	bassoons, bulls, calves, candy bars, candy canes, cantaloupes, caramels, chocolates, cotton candy, elephants, fruitcakes, gumballs, gumdrops, gums, jackets, jelly beans, lasagna, licorice, lollipops, marshmallows, peppermints, pickles, pudding, rabbits, scallops, ski boots, taffy, tridents, zucchini
