noun1	count	noun2_list
chisels	1	tool
soldering irons	1	tool
bagpipes	1	musical instrument
nachos	1	food
turntables	1	electronic device
sloths	1	mammal
trains	1	vehicle
tomato sauce	1	food
webcams	1	electronic device
ravioli	1	food
tiramisu	1	dessert
croutons	1	food
hoodies	1	clothing
wreaths	1	home decor
flip-flops	1	footwear
souffles	1	dessert
treadmills	1	electronic device
buckets	1	container
forks	1	tool
meatballs	1	food
calzones	1	food
rhubarbs	1	food
axes	1	weapon
car doors	1	auto part
screwdrivers	1	tool
bazookas	1	weapon
chests	1	container
cruise ships	1	water vehicle
bulletproof vests	1	clothing
saltshakers	1	container
insoles	1	accessory
ready meals	1	food
shower caps	1	toiletry
dumplings	1	food
weeds	1	food
cardigans	1	clothing
suspenders	1	clothing
lamb chops	1	food
can openers	1	tool
screens	1	electronic device
plums	1	fruit
plaster casts	1	medical equipment
patches	1	clothing
recorders	1	musical instrument
recliners	1	furniture
puffins	1	animal
scones	1	food
walnuts	1	food
macadamia nuts	1	food
airbags	1	auto part
stuffing	1	food
torpedoes	1	water vehicle
cornmeal	1	food
vegetables	1	food
pine trees	1	plant
steering wheels	1	auto part
vests	1	outerwear
ferns	1	mammal
sarcophagi	1	container
tumbleweeds	1	plant
wolves	1	animal
pogo sticks	1	toy
jumpsuits	1	outerwear
scrapers	1	tool
tortillas	1	food
almonds	1	fruit
rims	1	auto part
oilcans	1	container
posters	1	home decor
champagne	1	drink
ukuleles	1	musical instrument
wagons	1	vehicle
frames	1	home decor
fishnet stockings	1	clothing
mugs	1	container
sorbets	1	dessert
leggings	1	women's clothing
soaps	1	toiletry
sunroofs	1	auto part
pocketknives	1	weapon
puppets	1	toy
bonsai	1	plant
tulips	1	plant
easter eggs	1	food
windshield wipers	1	auto part
rolls	1	food
place mats	1	home decor
pajamas	1	clothing
safety pins	1	fastener
gophers	1	animal
whoopee cushions	1	toy
nail polish	1	toiletry
whiteboards	1	school supply
dandelions	1	plant
record players	1	electronic device
taillights	1	auto part
first-aid kits	1	medical equipment
tape recorders	1	food
water heaters	1	food
sandpapers	1	tool
trucks	1	vehicle
smoke alarms	1	electronic device
blueberries	1	food
flutes	1	musical instrument
marijuana	1	plant
clasps	1	tool
wheelchairs	1	medical equipment
wallets	1	container
jeans	1	clothing
seatbelts	1	auto part
pedals	1	auto part
candlesticks	1	home decor
cellphones	1	electronic device
subways	1	vehicle
slings	1	medical equipment
cabinets	1	container
candles	1	home decor
uniforms	1	clothing
deers	1	mammal
letter openers	1	tool
saffron	1	food
trashcans	1	container
pianos	1	musical instrument
spiders	1	animal
licorice	1	candy
jars	1	food
biscuits	1	food
pillows	1	home decor
chimes	1	musical instrument
dusters	1	tool
potpies	1	food
playing cards	1	game
snacks	1	food
cloves	1	fruit
balls	1	toy
cellos	1	musical instrument
curry	1	food
jeeps	1	vehicle
coleslaws	1	food
arrows	1	weapon
pantsuits	1	clothing
porcupines	1	animal
chicken	1	food
stir fry	1	food
magnifiers	1	tool
helmets	1	protective clothing
revolvers	1	food
hedges	1	plant
overalls	1	outerwear
lollipops	1	candy
cages	1	container
gears	1	tool
radios	1	electronic device
chandeliers	1	home decor
carriages	1	vehicle
gyroscopes	1	toy
peaches	1	food
modems	1	electronic device
cameras	1	electronic device
canoes	1	water vehicle
slot machines	1	electronic device
handkerchiefs	1	accessory
crates	1	container
chicks	1	animal
yogurts	1	food
dip	1	food
goldfish	1	mammal
antelopes	1	mammal
parfaits	1	food
beer	1	drink
wheat	1	food
firetrucks	1	vehicle
tadpoles	1	animal
roof racks	1	auto part
tick-tack-toe	1	game
snakes	1	mammal
tables	1	furniture
videogames	1	electronic device
melons	1	food
rubber bands	1	fastener
ropes	1	tool
sleds	1	vehicle
pepper mills	1	kitchen tool
hatboxes	1	container
paintbrushes	1	tool
hot chocolate	1	drink
polygraphs	1	electronic device
trees	1	plant
remote controls	1	electronic device
bells	1	musical instrument
poodles	1	animal
cymbals	1	musical instrument
dominoes	1	game
ladybugs	1	animal
rafts	1	vehicle
anklets	1	jewelry
taxis	1	vehicle
iceskates	1	footwear
dumpsters	1	container
bassinets	1	furniture
salads	1	food
shopping baskets	1	container
corsets	1	clothing
candelabras	1	home decor
daisies	1	plant
skirts	1	women's clothing
water filters	1	food
highchairs	1	food
skateboards	1	vehicle
fast foods	1	food
air mattresses	1	furniture
hamburgers	1	breakfast
minivans	1	vehicle
odometers	1	auto part
tapestries	1	home decor
shopping carts	1	container
figs	1	fruit
bras	1	women's clothing
curtains	1	home decor
batons	1	weapon
switches	1	tool
headdresses	1	clothing
seaplanes	1	vehicle
pokers	1	tool
crowbars	1	weapon
badgers	1	animal
boxer shorts	1	clothing
bowler hats	1	clothing
crossbows	1	weapon
alligators	1	animal
step stools	1	furniture
stethoscopes	1	medical equipment
scanners	1	electronic device
flyswatters	1	food
tanks	1	container
lamps	1	home decor
cannonballs	1	weapon
makeup	1	toiletry
mailboxes	1	container
ottoman	1	furniture
hummingbirds	1	bird
bathrobes	1	clothing
mint	1	plant
chilies	1	food
rats	1	mammal
valves	1	tool
pistachios	1	food
kiwis	1	fruit
teacups	1	container
bears	1	mammal
dreidels	1	toy
gearshifts	1	auto part
cauliflowers	1	vegetable
pinecones	1	home decor
lizards	1	animal
cans	1	container
dices	1	game
panties	1	clothing
doorknobs	1	tool
paper	1	office supply
ducts	1	tool
banks	1	container
doilies	1	home decor
marbles	1	toy
headbands	1	clothing
briefcases	1	food
espresso	1	drink
trombones	1	musical instrument
teapots	1	container
flamethrowers	1	weapon
meat	1	seafood
snowmobiles	1	vehicle
wine coolers	1	container
swimsuits	1	clothing
gavels	1	tool
speedometers	1	auto part
kilts	1	clothing
cherries	1	food
tablets	1	electronic device
earrings	1	jewelry
apple trees	1	plant
stew	1	food
mallets	1	tool
rickshaws	1	vehicle
gums	1	food
freezers	1	food
sifters	1	kitchen tool
rugs	1	home decor
sushi	1	food
turbans	1	clothing
ties	1	accessory
shirts	1	clothing
binders	1	school supply
cups	1	container
scrabble	1	game
backgammon	1	game
cash machines	1	electronic device
sweet potatoes	1	food
exhaust pipes	1	auto part
croissants	1	breakfast
lipsticks	1	toiletry
steaks	1	food
grains	1	food
gongs	1	musical instrument
bandages	1	medical equipment
frisbees	1	toy
boomerangs	1	weapon
computers	1	game
buggies	1	vehicle
headlights	1	auto part
anteaters	1	mammal
brackets	1	tool
ice packs	1	medical equipment
forklifts	1	vehicle
space shuttles	1	vehicle
whips	1	weapon
dalmatians	1	mammal
stamps	1	tool
icemakers	1	kitchen equipment
limousines	1	food
pencil sharpeners	1	school supply
school buses	1	vehicle
motorcycles	1	vehicle
toothpicks	1	toiletry
hubcaps	1	auto part
printers	1	electronic device
avocados	1	fruit
coat racks	1	furniture
roadsweepers	1	food
brooches	1	accessory
olives	1	food
eyedroppers	1	medical equipment
lavenders	1	plant
desserts	1	food
parrots	1	bird
cactus	1	plant
keys	1	tool
dresses	1	women's clothing
strainers	1	kitchen tool
filing cabinets	1	furniture
tarantulas	1	animal
cakes	1	dessert
grass	1	plant
baseball bats	1	weapon
hammocks	1	furniture
station wagons	1	vehicle
backpacks	1	container
chargers	1	tool
thermoses	1	container
ferrets	1	animal
pigeons	1	animal
violins	1	musical instrument
bags	1	container
milkshakes	1	dessert
gingerbread men	1	food
campers	1	vehicle
scarecrows	1	home decor
radishes	1	food
straightjackets	1	clothing
hot-water bottles	1	container
tricycles	1	vehicle
walkers	1	medical equipment
swimming pools	1	container
scorpions	1	animal
gaskets	1	auto part
bongos	1	food
globes	1	home decor
coffee pots	1	container
vacuum cleaners	1	electronic device
rams	1	animal
joysticks	1	electronic device
tractors	1	vehicle
ashtrays	1	food
dryers	1	electronic device
sandals	1	clothing
toads	1	animal
life jackets	1	protective clothing
papayas	1	fruit
matches	1	tool
cornucopias	1	home decor
spring rolls	1	food
beds	1	furniture
speedboats	1	water vehicle
hummus	1	food
hairnets	1	headwear
suits	1	clothing
wine bottles	1	container
tamales	1	food
hopscotches	1	game
pants	1	clothing
shawls	1	outerwear
golf carts	1	vehicle
magnifying glasses	1	tool
quills	1	tool
piecrusts	1	food
wind chimes	1	home decor
albums	1	home decor
zippers	1	fastener
shuffleboards	1	game
moccasins	1	clothing
french horns	1	musical instrument
car seats	1	auto part
shredders	1	food
sofa beds	1	furniture
lattes	1	drink
petri dishes	1	food
bikes	1	vehicle
trolleys	1	vehicle
desks	1	furniture
kazoos	1	musical instrument
humvees	1	vehicle
meatloaf	1	food
missiles	1	weapon
vise	1	tool
peanuts	1	animal
dolls	1	toy
rings	1	jewelry
potpourris	1	home decor
rocking chairs	1	food
air pumps	1	tool
panthers	1	animal
ticks	1	animal
irons	1	electronic device
lampshades	1	home decor
baklavas	1	dessert
breadboxes	1	container
caramels	1	food
defibrillators	1	medical equipment
pipes	1	tool
computer screens	1	electronic device
asparagus	1	food
bracelets	1	accessory
bookshelves	1	furniture
sweaters	1	clothing
potatoes	1	food
rice	1	food
blowguns	1	weapon
notepads	1	school supply
shelves	1	furniture
breakfasts	1	food
gauzes	1	medical equipment
cranks	1	tool
duffel bags	1	container
goblets	1	container
rockets	1	vehicle
giraffes	1	mammal
fans	1	electronic device
thrones	1	furniture
grapes	1	fruit
stereos	1	electronic device
patties	1	food
anvils	1	tool
necklaces	1	jewelry
